Model Name,MoAS Score
Gemma-2,0.4393176696607989
Llama-3.1,0.4341308376859418
Phi-2,0.40598271871671837
Phi-4,0.29595930872359777
Llama-3,0.2564418731876777
Llama-4-Scout,0.07458622077617627
Phi-3-Mini,0.06497808941923389
DS-R1-Llama,-0.027974438734391878
Mistral-v0.3,-0.08916316868918339
DS-R1-Qwen,-0.48908609258203745
