,CAT,LMB,HONEST,Toxicity,ICAT
CAT,1.0,-0.11336235407853665,0.053392955798087394,0.4849306130194438,0.7809541638520358
LMB,-0.11336235407853654,1.0,0.21946827355971488,0.031010340226818055,0.06586349553633865
HONEST,0.05339295579808734,0.21946827355971488,1.0,-0.002434279202110687,-0.18243474199187093
Toxicity,0.4849306130194438,0.031010340226818055,-0.002434279202110687,1.0,0.3359261924347948
ICAT,0.7809541638520359,0.06586349553633865,-0.18243474199187093,0.3359261924347948,1.0
